,timestamp,answer,txDate
0,1620758509,4081.10595768,2021-05-11 18:41:49+00:00
1,1620759210,4056.4,2021-05-11 18:53:30+00:00
2,1620764715,4093.02817808,2021-05-11 20:25:15+00:00
3,1620765891,4115.09632624,2021-05-11 20:44:51+00:00
4,1620767156,4144.61,2021-05-11 21:05:56+00:00
5,1620770764,4112.99177803,2021-05-11 22:06:04+00:00
6,1620773381,4133.6203102,2021-05-11 22:49:41+00:00
7,1620777131,4154.34920456,2021-05-11 23:52:11+00:00
8,1620777622,4178.27,2021-05-12 00:00:22+00:00
9,1620786199,4199.7591961,2021-05-12 02:23:19+00:00
10,1620786387,4225.1715384,2021-05-12 02:26:27+00:00
11,1620786989,4249.99,2021-05-12 02:36:29+00:00
12,1620789082,4273.6526019,2021-05-12 03:11:22+00:00
13,1620791219,4297.89232745,2021-05-12 03:46:59+00:00
14,1620791424,4322.17012069,2021-05-12 03:50:24+00:00
15,1620791876,4344.24353942,2021-05-12 03:57:56+00:00
16,1620792340,4322.2878473,2021-05-12 04:05:40+00:00
17,1620794143,4299.80078108,2021-05-12 04:35:43+00:00
18,1620796202,4322.07626547,2021-05-12 05:10:02+00:00
19,1620799392,4351.33435459,2021-05-12 06:03:12+00:00
20,1620800255,4328.26,2021-05-12 06:17:35+00:00
21,1620802655,4306.16370264,2021-05-12 06:57:35+00:00
22,1620804165,4329.32570862,2021-05-12 07:22:45+00:00
23,1620804501,4328.01317288,2021-05-12 07:28:21+00:00
24,1620805617,4303.82,2021-05-12 07:46:57+00:00
25,1620808220,4278.53,2021-05-12 08:30:20+00:00
26,1620809520,4300.17,2021-05-12 08:52:00+00:00
27,1620814032,4276.89,2021-05-12 10:07:12+00:00
28,1620816201,4254.42624396,2021-05-12 10:43:21+00:00
29,1620818406,4277.76534363,2021-05-12 11:20:06+00:00
30,1620819099,4255.63,2021-05-12 11:31:39+00:00
31,1620820576,4280.24464546,2021-05-12 11:56:16+00:00
32,1620823739,4303.26452986,2021-05-12 12:48:59+00:00
33,1620825557,4279.69847239,2021-05-12 13:19:17+00:00
34,1620826098,4257.77,2021-05-12 13:28:18+00:00
35,1620827048,4279.13,2021-05-12 13:44:08+00:00
36,1620827310,4302.70016968,2021-05-12 13:48:30+00:00
37,1620829375,4334.62402326,2021-05-12 14:22:55+00:00
38,1620829713,4357.88672267,2021-05-12 14:28:33+00:00
