,blockNumber,txHash,txTimestamp,gasPriceGwei,fee,submitter,payeeAddress,oracleName,amount,txDate
522,26310048,0x73613ead9b68c193f0d7f180cea2af5031bab5adac389961d96a0c77b22c0855,1648134203,64.0,0.57513792,0xf4729a2f6c167aa4e28df41d8f8bbaee91cdd174,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.0163013635,2022-03-24 15:03:23+00:00
538,26549598,0xb66e25ad4c815e2297a9568793c587786305f55e05b366e391094bbd005a0d8b,1648667255,195.0,2.080607685,0xf4729a2f6c167aa4e28df41d8f8bbaee91cdd174,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.016780236972,2022-03-30 19:07:35+00:00
554,26855365,0xcf1aa15ce541fb3a5af16feb83bd3f3d906f8248ac9541e283c2fb63b49e7378,1649342747,55.0,0.589302065,0xf4729a2f6c167aa4e28df41d8f8bbaee91cdd174,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.0177095200945,2022-04-07 14:45:47+00:00
570,27092538,0x76d6706184e4f627a615628daf8cca89f4d5155dc62ec2a04bc97aa40e08218f,1649864828,50.0,0.53474915,0xf4729a2f6c167aa4e28df41d8f8bbaee91cdd174,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.00973387149,2022-04-13 15:47:08+00:00
586,27331871,0xca1e718529ea784bb159b65eb06dbeb4bd8fb92253b782ae6dd0ea34545b0094,1650389776,88.0,0.940419304,0xf4729a2f6c167aa4e28df41d8f8bbaee91cdd174,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.0069703402,2022-04-19 17:36:16+00:00
602,27605391,0x000ce821ca3194b18113cb5c69449f441684c58f739d000c1172163e82e6bb4e,1650993840,104.0,1.11577388,0xf4729a2f6c167aa4e28df41d8f8bbaee91cdd174,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.0223648314,2022-04-26 17:24:00+00:00
618,27880774,0xe244190919d5936373a6f5abe81d489764acacbc983a0b77d1f15c2ee9c6d37f,1651595021,104.0,1.11868588,0x52b42a919155eb883b8f9df71babc9601ddc09dc,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.0139990641,2022-05-03 16:23:41+00:00
634,28235522,0x26ce520d3c45fca982a0f2822e2d68462de3f11296424a8b74a71500c20bb193,1652374532,987.0,10.633340865,0xf4729a2f6c167aa4e28df41d8f8bbaee91cdd174,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.299541025378,2022-05-12 16:55:32+00:00
650,28431339,0x603be558b641c0a3300fcc98f4c30b63f19d65fa883a11ba5f5dfc4f42e24e1b,1652795600,104.0,1.11548268,0x52b42a919155eb883b8f9df71babc9601ddc09dc,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.040363892961,2022-05-17 13:53:20+00:00
666,28720003,0xa315076f55bbdd7389d35a347a83a36c4efd677c8ad06e27e3ef3d88a080c5f4,1653412724,56.0,0.60061988,0xf4729a2f6c167aa4e28df41d8f8bbaee91cdd174,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.023924345696,2022-05-24 17:18:44+00:00
682,29000361,0x0a27ca3478d797ccbf065be341968552050013b62c36a9544011e180ecd82d5d,1654017921,60.0,0.6418413,0xf4729a2f6c167aa4e28df41d8f8bbaee91cdd174,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.01871858383,2022-05-31 17:25:21+00:00
698,29329789,0x1283f6ea3cc10707caeda0de2e5731979cdd59bfc2a5615649e54943c89e398d,1654722094,62.0,0.966945614,0xf9c551bdd05e87384af94796b836784860118496,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.0416143578,2022-06-08 21:01:34+00:00
714,29606049,0x1d478ba040b9d3df6df55b09fdbc71c8daf1b3981f3b91ad8f3642eb222b732e,1655314051,137.0,1.469243759,0xf4729a2f6c167aa4e28df41d8f8bbaee91cdd174,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.12365477227,2022-06-15 17:27:31+00:00
730,29875092,0xacb5a88981bfc04b0f41ae0988cf54c94f558deb2468d346fd7b3b8ec34dd4ba,1655918535,66.0,0.710582862,0xf9c551bdd05e87384af94796b836784860118496,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.067829734358,2022-06-22 17:22:15+00:00
746,30139060,0xe8cce55e3fbe367dedccd958412720e31e00eeced7b7302c6ddaea4581a24f21,1656511899,145.0,1.558049215,0xf9c551bdd05e87384af94796b836784860118496,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.0488720393128,2022-06-29 14:11:39+00:00
762,30373736,0xb81234115fe464d5b71572b7b81706bce5dfd7b5bb40ebc922d1aa25de3873e2,1657041337,62.0,0.664464354,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x4a3df8cae46765d33c2551ff5438a5c5fc44347c,chainlayer,0.0185048719056,2022-07-05 17:15:37+00:00
